Event,
ecn_currency_earn,
ecn_currency_spent,
nav_view_loading,
nav_view_shelter,
nav_do_login,
nav_view_login,
nav_view_settings,
nav_view_shop,
nav_trigger_shop,
nav_view_support,
nav_view_medals,
nav_view_shelters_map,
nav_move_to_shelter,
nav_view_floor_tooltip,
nav_view_tasks,
nav_view_tamagotchi,
nav_start_rm,
nav_fixroomview,
nav_view_grind,
nav_view_rush_map,
nav_lucky_spin_view,
nav_starterpack,
tec_fps_monitoring,
gpy_rm_start,
gpy_rm_checkpoint_end,
gpy_rm_select_challenge,
gpy_rm_conversation_next,
gpy_rm_claim_pet,
gpy_rm_pet_found,
gpy_change_pet_name,
gpy_grind_trivia_start,
gpy_grind_trivia_end,
gpy_grind_show,
gpy_grind_unlock_challenge,
gpy_grind_out_of_tickets,
gpy_start_level,
gpy_level_finish,
gpy_rush_show,
gpy_skip_question,
gpy_pet_claim_4,
gpy_tamagotchi_upgrade_click,
gpy_tamagotchi_upgrade_claim,
gpy_answer_question,
gpy_img_load_fail,
gpy_unlock_floor_click,
gpy_lucky_spin,
gpy_unlock_floor_completed,
gpy_fixroom_try_style,
gpy_fixroom_save_selected_style,
mon_click_rewarded,
etermax_push_install,
nti_open_local_notification,
ftue_animatic_start,
ftue_animatic_end,
ftue_tutorial_stage_shown,
ftue_tutorial_stage_completed,
mon_purchase_item,
gpy_pet_to_rescue_roll,
gpy_pet_to_rescue_re_roll,
gpy_pet_to_rescue_selected,
gpy_out_of_lives,
cnv_starterpack
